source	symbol	field	go_type	class	kizu_type	source_owner	cleanup	evidence
internal/diagnostic/diagnostic.go	Diagnostic	Span	ast.Span	copy source identity and positions	compiler::internal::ast::Span	compiler source map	none	internal/diagnostic/diagnostic.go:20-29; internal/source/source.go
internal/diagnostic/diagnostic.go	New/FromText	return	*Diagnostic	owned structured diagnostic	!compiler::internal::diagnostic::Diagnostic	caller	Diagnostic.deinit or move into caller-owned collection	internal/diagnostic/diagnostic.go:31-71
internal/diagnostic/diagnostic.go	Error/CLIError	source lookup	Source ID embeds shared *Map	borrowed explicit source map at rendering boundary	&compiler::internal::source::SourceMap	compiler invocation	none	internal/diagnostic/diagnostic.go:73-110; internal/source/source.go
internal/diagnostic/diagnostic.go	Error/CLIError	return	string	owned rendered bytes	!std::string::String	caller	String.deinit	internal/diagnostic/diagnostic.go:73-110; docs/adr/0055-std-fmt-diagnostic-formatting.md
internal/diagnostic/diagnostic.go	WithCode/WithNote/WithHelp	argument / receiver	string / *Diagnostic	borrowed input bytes copied into mutable owned diagnostic	[]u8 / &var compiler::internal::diagnostic::Diagnostic	caller / Diagnostic	none for input; Diagnostic.deinit for retained copies	internal/diagnostic/diagnostic.go:122-135
internal/diagnostic/diagnostic.go	splitFirstLine	return	strings	borrowed substrings of first line	compiler::internal::diagnostic::FirstLineParts view fields	input text	none	internal/diagnostic/diagnostic.go:137-150
internal/lexer/lexer.go	Lexer	input	[]rune	borrowed source bytes	[]u8	compilation source record	none	internal/lexer/lexer.go:11-19,68-76
internal/lexer/lexer.go	Lexer	pending.doc	[]string	owned span list	std::array::Array<Span>	Lexer	Lexer.deinit	internal/lexer/lexer.go:21-27,214-239
internal/lexer/lexer.go	Lexer	pending.safety	[]string	owned span list	std::array::Array<Span>	Lexer	Lexer.deinit	internal/lexer/lexer.go:21-27,214-239
internal/lexer/lexer.go	Lexer	source	source.ID	copy handle	?compiler::internal::source::SourceId	compiler source map	none	internal/lexer/lexer.go
internal/unsafecap/unsafecap.go	Info	Name	string	static borrowed bytes	[]u8	binary static data	none	internal/unsafecap/unsafecap.go:7-10
internal/unsafecap/unsafecap.go	Info	ShortPermit	string	static borrowed bytes	[]u8	binary static data	none	internal/unsafecap/unsafecap.go:7-10
internal/unsafecap/unsafecap.go	All	return	[]Info	owned list of borrowed metadata	std::array::Array<Info>	caller	Array.deinit	internal/unsafecap/unsafecap.go:12-58
internal/unsafecap/unsafecap.go	Hint	info	Info	borrowed metadata	&Info	caller	none	internal/unsafecap/unsafecap.go:69-72
internal/unsafecap/unsafecap.go	Hint	return	string	owned generated bytes	std::string::String	caller	String.deinit	internal/unsafecap/unsafecap.go:69-72
internal/typ/table.go	Table	parsed	map[string]Type	owned phase cache	std::map::Map<[]u8, compiler::internal::typ::Type>	Table	Map.deinit	internal/typ/table.go
internal/typ/typ.go	Type	handle	interface value over immutable node pointer	copy handle	compiler::internal::typ::Type	compiler::internal::typ::Table	none	internal/typ/typ.go:13-62; internal/typ/table.go
internal/typ/typ.go	Type	graph	GC-retained immutable node graph	phase-owned tree storage	std::arena::Arena<compiler::internal::typ::TypeTree>	compiler::internal::typ::Table	Table.deinit	internal/typ/typ.go:13-62; internal/typ/table.go
internal/typ/typ.go	Type.String / append_render	graph / rendered bytes / return	immutable Type graph / string	append_render borrows the Table graph and mutates caller-owned String storage; render creates and returns one independent String owner	&var std::string::String / &compiler::internal::typ::Table / compiler::internal::typ::Type / !void; render returns !std::string::String	compiler::internal::typ::Table for graph / caller for accumulator or render result	append failure leaves accumulated storage caller-owned; render errdefer releases partial output on failure and caller deinitializes success	internal/typ/typ.go:82-123; compiler/src/internal/typ/typ.kizu:503-526,542-654; compiler/src/internal/typ/typ_test.kizu
internal/typ/typ.go	Builder	partial type graph	GC-retained nodes under construction	explicit node arena transferred as one completed tree	compiler::internal::typ::Builder	Builder before finish / compiler::internal::typ::Table after finish	Builder.deinit on abandoned graph; Table.deinit after finish	internal/typ/typ.go:13-62; internal/parser/parser.go:1451-1710; compiler/src/internal/typ/typ.kizu
internal/typ/typ.go	finish_builder	builder / root and return	immutable node graph / typ.Type	consumes builder arena into phase table and returns a copy handle	compiler::internal::typ::Builder / std::arena::Handle<compiler::internal::typ::Node> / compiler::internal::typ::Type	compiler::internal::typ::Table	Table.deinit	internal/typ/typ.go:13-62; internal/typ/table.go
internal/typ/typ.go	Name	Path	[]string	owned name segments	std::array::Array<std::string::String>	Table TypeTree node	Table.deinit cascade	internal/typ/typ.go:23-29; internal/typ/parse.go:105-132
internal/typ/typ.go	Name	Args	[]Type	owned child node references	std::array::Array<std::arena::Handle<compiler::internal::typ::Node>>	Table TypeTree node	Table.deinit cascade	internal/typ/typ.go:23-29; internal/typ/parse.go:105-132
internal/typ/typ.go	Slice	Elem	Type	child node reference	std::arena::Handle<compiler::internal::typ::Node>	Table TypeTree	none	internal/typ/typ.go:31; internal/typ/parse.go:30-33
internal/typ/typ.go	Buffer	Elem	Type	child node reference	std::arena::Handle<compiler::internal::typ::Node>	Table TypeTree	none	internal/typ/typ.go:34-38; internal/typ/parse.go:66-96
internal/typ/typ.go	Borrow	Elem	Type	child node reference	std::arena::Handle<compiler::internal::typ::Node>	Table TypeTree	none	internal/typ/typ.go:40-43; internal/typ/parse.go:34-45
internal/typ/typ.go	Optional	Elem	Type	child node reference	std::arena::Handle<compiler::internal::typ::Node>	Table TypeTree	none	internal/typ/typ.go:45; internal/typ/parse.go:46-52
internal/typ/typ.go	Const	Elem	Type	child node reference	std::arena::Handle<compiler::internal::typ::Node>	Table TypeTree	none	internal/typ/typ.go:47; internal/typ/parse.go:53-59
internal/typ/typ.go	ErrorUnion	Err	Type nullable	optional child node reference	?std::arena::Handle<compiler::internal::typ::Node>	Table TypeTree	none	internal/typ/typ.go:49-52; internal/typ/parse.go:13-23
internal/typ/typ.go	ErrorUnion	Ok	Type	child node reference	std::arena::Handle<compiler::internal::typ::Node>	Table TypeTree	none	internal/typ/typ.go:49-52; internal/typ/parse.go:13-23
internal/typ/parse.go	parser	input	string	borrowed canonical spelling	[]u8	caller	none	internal/typ/parse.go:9-12
internal/typ/parse.go	Parse	return Type	interface-backed immutable node graph	owned tree transferred to phase table	compiler::internal::typ::Type	compiler::internal::typ::Table	Table.deinit	internal/typ/parse.go; internal/typ/table.go
internal/typ/typ.go	OptionalElem	return	string	borrowed sub-slice	[]u8	input spelling	none	internal/typ/typ.go:361-369
internal/typ/typ.go	BorrowOptionalElem	return	(string, bool, bool)	borrowed elem plus copy flags	compiler::internal::typ::BorrowOptionalParts	input spelling	none	internal/typ/typ.go:372-386
internal/typ/typ.go	SplitApply	return	(string, string, bool)	borrowed base and args	compiler::internal::typ::ApplyParts	input spelling	none	internal/typ/typ.go:399-412
internal/typ/typ.go	SplitMethodName	return	(string, string, bool)	borrowed receiver and method	compiler::internal::typ::MethodNameParts	input spelling	none	internal/typ/typ.go:414-423
internal/typ/typ.go	CleanupMethod	return	string	static borrowed bytes	[]u8	binary static data	none	internal/typ/typ.go:425-429
internal/typ/typ.go	MapNames / map_names	input graph / return graph	Type / GC node graph	Kizu borrows the source graph in the caller Table and returns a copy Type handle to a new graph retained by that same Table	&var compiler::internal::typ::Table / compiler::internal::typ::Type	Table before and after the call	copy handles need no cleanup; Builder.deinit releases a partial graph and Table.deinit releases the completed graph	internal/typ/typ.go:257-312; compiler/src/internal/typ/typ.kizu:815-901; compiler/src/internal/typ/typ_test.kizu
internal/typ/typ.go	MapNames rename / NameMapper.rename_path	borrowed source path / renamed path	func([]string) ([]string, error)	Go returns a GC path before visiting static arguments. Kizu preserves that preorder callback, returning one owned Array of String segments before recursively transforming arguments.	Allocator / &std::array::Array<std::string::String> / !std::array::Array<std::string::String>	mapper until return, then local Builder graph	map_name_node errdefer releases the renamed path or argument Array on failure; PlainNameTransform moves both into one Name on success	internal/typ/typ.go:297-312; compiler/src/internal/typ/typ.kizu:114-128,874-887; compiler/src/internal/typ/typ_test.kizu
internal/stdmeta/stdmeta.go	ResolveElementTypeForms / fold_names_into / NameFolder.fold_name	borrowed source graph / transformed arguments / projected replacement	GC nodes and recursive mutation	Kizu uses a separate postorder whole-name fold rather than changing MapNames callback order; each call receives one owned copied path and one owned Array of transformed child handles and either moves both into a Name or deinitializes both before returning a retained child handle.	&compiler::internal::typ::Table / &var compiler::internal::typ::Table / std::array::Array<std::string::String> / std::array::Array<std::arena::Handle<compiler::internal::typ::Node>>	source Table for borrowed graph / destination Builder then Table for transformed graph	transform_names Builder errdefer owns partial nodes; ElementTypeMapper deinitializes discarded path and args on projection; destination Table deinit releases retained nodes	internal/stdmeta/stdmeta.go:189-251; compiler/src/internal/typ/typ.kizu:823-901; compiler/src/internal/stdmeta/stdmeta.kizu:160-220; compiler/src/internal/stdmeta/stdmeta_test.kizu
internal/typ/typ.go	MapNames / fold_names_into shared traversal	wrapper nodes / copied paths / argument storage	GC nodes and slices	one local Builder owns every cloned wrapper and Name node; PlainNameTransform supplies only the identity path copy or ordinary Name construction, while caller policy remains in the preorder mapper or postorder folder	compiler::internal::typ::Builder / std::array::Array<std::string::String> / std::array::Array<std::arena::Handle<compiler::internal::typ::Node>>	destination Table after finish_builder	Builder.deinit releases a partial graph on propagated failure; destination Table.deinit releases completed TypeTrees and every owned node field	internal/typ/typ.go:257-312; compiler/src/internal/typ/typ.kizu:815-901
internal/typ/typ.go	SubstituteText	substitutions	map[string]string	borrowed spelling map	&std::map::Map<[]u8, []u8>	caller	none	internal/typ/typ.go:476-493
internal/typ/typ.go	SubstituteText	parsed replacements	map[string]Type	local parsed handles; Kizu retains canonical owned bytes	std::map::Map<[]u8, std::string::String>	function scope	Map.deinit then Table.deinit	internal/typ/typ.go:484-490
internal/typ/typ.go	SubstituteText	return	string	owned generated bytes	std::string::String	caller	String.deinit	internal/typ/typ.go:476-493
internal/typ/typ.go	SplitArgs / internal/types.splitGenericArgs	input	string	borrowed canonical static spelling	[]u8	caller	none	internal/typ/typ.go:147-178; internal/types/type.go:564-570; compiler/src/internal/typ/typ.kizu:392-465; compiler/src/internal/types/types.kizu:914-918
internal/typ/typ.go	SplitArgs / internal/types.splitGenericArgs	return	([]string, error) / ([]string, bool)	strict splitting returns one owned argument list or its parse reason; the types wrapper classifies malformed text as absence while allocation failure stays distinct	!std::array::Array<std::string::String> / !?std::array::Array<std::string::String>	caller	shared split core leaves partial Strings in the caller-owned Array; outer errdefer releases them on allocation or strict parse failure, optional malformed paths explicitly deinitialize before null, and caller deinitializes success	internal/typ/typ.go:147-178; internal/types/type.go:564-570; compiler/src/internal/typ/typ.kizu:392-465; compiler/src/internal/typ/typ_test.kizu; compiler/src/internal/types/types.kizu:914-918; compiler/src/internal/types/types_test.kizu
internal/ast/ast.go	Expression	handle	interface value over node pointer	copy handle	compiler::internal::ast::Expression	compiler::internal::ast::Ast	none	internal/ast/ast.go:46-49; internal/parser/parser.go
internal/ast/ast.go	Statement	handle	interface value over node pointer	copy handle	compiler::internal::ast::Statement	compiler::internal::ast::Ast	none	internal/ast/ast.go:40-43; internal/parser/parser.go
internal/ast/ast.go	BlockStmt	handle	*BlockStmt	copy handle into the statement graph	compiler::internal::ast::Block	compiler::internal::ast::Ast	none	internal/ast/ast.go:451-466; internal/ast/variants.go
internal/ast/ast.go	Decl	handle	interface value over declaration pointer	copy handle	compiler::internal::ast::Declaration	compiler::internal::ast::Ast	none	internal/ast/ast.go:51-73; internal/parser/parser.go:52-97
internal/ast/ast.go	Program	Decls	[]Decl	owned declaration handle list	std::array::Array<compiler::internal::ast::Declaration>	compiler::internal::ast::Program	Program.deinit	internal/ast/ast.go:51-54; internal/parser/parser.go:52-97; internal/ast/derive_deinit.go:13-34
internal/ast/ast.go	Text	handle	string	copy identity for phase-retained immutable bytes	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go; internal/parser/parser.go
internal/ast/ast.go	Text	graph	GC-retained immutable string bytes	phase-owned immutable text storage	std::arena::Arena<std::string::String>	compiler::internal::ast::Ast	Ast.deinit	internal/ast/ast.go; internal/parser/parser.go
internal/ast/ast.go	Ast	parsed type graph	GC-retained typ.Type nodes referenced by AST fields	phase-owned type table stored with the syntax graph	compiler::internal::typ::Table	compiler::internal::ast::Ast	Ast.deinit cascades through its types field	internal/ast/ast.go; internal/parser/parser.go:1451-1710; compiler/src/internal/ast/ast.kizu; compiler/src/internal/parser/parser.kizu
internal/ast/ast.go	ExpressionList	handle	[]Expression	copy identity for shared immutable slice backing	compiler::internal::ast::ExpressionList	compiler::internal::ast::Ast	none	internal/ast/ast.go:910-926; internal/ast/variants.go; internal/ast/construct.go
internal/ast/ast.go	ExpressionList	graph	GC-retained expression handle list backing	phase-owned immutable handle-list storage	std::arena::Arena<std::array::Array<compiler::internal::ast::Expression>>	compiler::internal::ast::Ast	Ast.deinit	internal/ast/ast.go:910-926; internal/ast/variants.go; internal/ast/construct.go
internal/ast/ast.go	Decl	graph	GC-retained declaration nodes	phase-owned node storage	std::arena::Arena<compiler::internal::ast::DeclarationNode>	compiler::internal::ast::Ast	Ast.deinit	internal/ast/ast.go:51-73; internal/parser/parser.go
internal/ast/ast.go	Expression	graph	GC-retained expression nodes	phase-owned node storage	std::arena::Arena<compiler::internal::ast::ExpressionNode>	compiler::internal::ast::Ast	Ast.deinit	internal/ast/ast.go:46-49; internal/parser/parser.go
internal/ast/ast.go	Statement	graph	GC-retained statement nodes	phase-owned node storage	std::arena::Arena<compiler::internal::ast::StatementNode>	compiler::internal::ast::Ast	Ast.deinit	internal/ast/ast.go:40-43; internal/parser/parser.go
internal/ast/ast.go	Program.String / declaration String methods	declaration graph / type graph / rendered bytes / return	Program / Decl / typ.Type / string	Kizu borrows the Program handles and one Ast that owns declarations, text, and the parsed type graph while all declaration forms append into one new caller-owned String	Allocator / &compiler::internal::ast::Ast / &compiler::internal::ast::Program or compiler::internal::ast::Declaration / !std::string::String	compiler::internal::ast::Program and compiler::internal::ast::Ast for input graph / caller for render result	wrapper errdefer releases partial output on append failure; recursive declaration, block, and type helpers create no owner; caller deinitializes success	internal/ast/ast.go:56-449; compiler/src/internal/ast/ast.kizu; compiler/src/internal/ast/ast_test.kizu
internal/ast/ast.go	Statement.String / BlockStmt.String	statement graph / rendered bytes / return	Statement / string	Kizu recursively borrows the Ast-owned statement and parsed type graphs while appending into one new caller-owned String	Allocator / &compiler::internal::ast::Ast / compiler::internal::ast::Statement or Block / !std::string::String	compiler::internal::ast::Ast for input graphs / caller for render result	wrapper errdefer releases partial output on append failure; caller deinitializes success; recursive helpers create no owner	internal/ast/ast.go:450-767; compiler/src/internal/ast/ast.kizu; compiler/src/internal/ast/ast_test.kizu
internal/ast/ast.go	Expression.String / MatchArm.String	expression and statement graph / type graph / rendered bytes / return	Expression / typ.Type / string	Kizu recursively borrows Ast-owned nodes and parsed types while appending every node into one new caller-owned String	Allocator / &compiler::internal::ast::Ast / compiler::internal::ast::Expression / !std::string::String	compiler::internal::ast::Ast for input graphs / caller for render result	wrapper errdefer releases partial output on append failure; typ append shares the same accumulator; caller deinitializes success	internal/ast/ast.go:665-696,769-1165; compiler/src/internal/ast/ast.kizu; compiler/src/internal/ast/ast_test.kizu
internal/ast/ast.go	BlockStmt	graph	GC-retained block nodes	StatementNode::Block payload in phase-owned statement storage	std::arena::Arena<compiler::internal::ast::StatementNode>	compiler::internal::ast::Ast	Ast.deinit	internal/ast/ast.go:451-466; internal/ast/variants.go
internal/ast/ast.go	Span	Source	source.ID	copy handle	?compiler::internal::source::SourceId	compiler source map	none	internal/ast/ast.go:23-28
internal/ast/ast.go	ImportDecl	Path	[]string	owned list of immutable text references	std::array::Array<compiler::internal::ast::Text>	containing declaration node / compiler::internal::ast::Ast	arena element cleanup for list buffer	internal/ast/ast.go:56-67; internal/parser/parser.go:101-116
internal/ast/ast.go	FunctionSignature	Name/ExternABI	string	copy text handles	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:87-123; internal/parser/parser.go:207-279
internal/ast/ast.go	FunctionSignature	StaticParams/Params	[]StaticParam / []Param	owned parameter lists	std::array::Array<compiler::internal::ast::StaticParam> / std::array::Array<compiler::internal::ast::Param>	containing function declaration	arena element cleanup	internal/ast/ast.go:96-112; internal/parser/parser.go:251-279
internal/ast/ast.go	FunctionSignature	ReturnType	typ.Type nullable	optional type handle	?compiler::internal::typ::Type	compiler::internal::ast::Ast.types	none	internal/ast/ast.go:96-112; internal/parser/parser.go:359-370
internal/ast/ast.go	FunctionSignature.TypeParamNames	static parameters / return	[]ast.StaticParam / []string	input parameter storage is borrowed; each selected name is a copy Text handle retained by Ast, while only the returned handle Array is a new owner	&compiler::internal::ast::FunctionSignature / Allocator / !std::array::Array<compiler::internal::ast::Text>	caller-owned FunctionSignature, standalone or nested in FunctionDecl, for source StaticParam Array / compiler::internal::ast::Ast for Text / caller for returned Array	errdefer releases the result Array on append failure; caller deinitializes the returned Array on success; source signature remains unchanged and its owner releases its Arrays; Ast.deinit releases name text	internal/ast/ast.go:145-154; compiler/src/internal/ast/ast.kizu; compiler/src/internal/ast/ast_test.kizu
internal/ast/ast.go	StaticParam.String / append_static_param	name and optional type graph / rendered bytes / return	ast.StaticParam / typ.Type / string	Kizu borrows the Ast-retained name and Ast-owned type while appending the source spelling into caller-owned String storage	&var std::string::String / &compiler::internal::ast::Ast / &compiler::internal::ast::StaticParam / !void	compiler::internal::ast::Ast for input / caller for accumulator	append or type-render failure leaves partial storage caller-owned; render wrappers or diagnostic builders release it with their own errdefer; the helper creates no owner	internal/ast/ast.go:125-143; internal/parser/parser.go:1619-1630; compiler/src/internal/ast/ast.kizu; compiler/src/internal/parser/parser.kizu; compiler/src/internal/ast/ast_test.kizu; compiler/src/internal/parser/parser_test.kizu
internal/ast/ast.go	MatchArm.IsWildcard	tag / return	string / bool	the MatchArm stores a copy Text identity; the helper resolves and borrows its Ast-owned bytes only for the equality check	&compiler::internal::ast::MatchArm / &compiler::internal::ast::Ast / bool	compiler::internal::ast::Ast for tag Text	none for the scoped byte borrow or boolean; Ast.deinit later releases tag text	internal/ast/ast.go:681-684; compiler/src/internal/ast/ast.kizu; compiler/src/internal/ast/ast_test.kizu
internal/ast/ast.go	BufferLiteralExpr.TypeText	size / return	int64 / string	the size is copied from the borrowed expression into a newly formatted owned String	&compiler::internal::ast::BufferLiteralExpr / Allocator / !std::string::String	caller for returned String	errdefer releases the partial output on append or integer-format failure; caller deinitializes the returned String after success	internal/ast/ast.go:1086-1089; compiler/src/internal/ast/ast.kizu; compiler/src/internal/ast/ast_test.kizu
internal/ast/ast.go	FunctionDecl	Doc/Body	string / *BlockStmt	copy text and block handles	compiler::internal::ast::Text / ?compiler::internal::ast::Block	compiler::internal::ast::Ast	none	internal/ast/ast.go:114-123; internal/parser/parser.go:251-279
internal/ast/ast.go	StaticParam	Name/Type	string / typ.Type nullable	copy text and optional type handles	compiler::internal::ast::Text / ?compiler::internal::typ::Type	compiler::internal::ast::Ast / compiler::internal::ast::Ast.types	none	internal/ast/ast.go:125-134; internal/parser/parser.go:1554-1586
internal/ast/ast.go	TestDecl	Name/Body	string / *BlockStmt	copy text and optional block handles	compiler::internal::ast::Text / ?compiler::internal::ast::Block	compiler::internal::ast::Ast	none	internal/ast/ast.go:197-211; internal/parser/parser.go:235-249
internal/ast/ast.go	StructDecl	Name/Doc/TypeParams/Fields/Span	string / []string / []Field / ast.Span	copy text and source-position handles plus owned child lists	compiler::internal::ast::Text / std::array::Array<compiler::internal::ast::Text> / std::array::Array<compiler::internal::ast::Field> / compiler::internal::ast::Span	compiler::internal::ast::Ast / compiler source map / containing declaration node	arena element cleanup for list buffers; Span needs no cleanup	internal/ast/ast.go:214-253; internal/parser/parser.go:396-471; compiler/src/internal/ast/ast.kizu; compiler/src/internal/parser/parser.kizu
internal/ast/ast.go	EnumDecl	Name/Doc/Tags/TagDocs	string / []string / map[string]string nullable	copy text handles and owned containers	compiler::internal::ast::Text / std::array::Array<compiler::internal::ast::Text> / ?std::map::Map<[]u8, compiler::internal::ast::Text>	compiler::internal::ast::Ast / containing declaration node	arena element cleanup for containers	internal/ast/ast.go:252-271; internal/parser/parser.go:472-555
internal/ast/ast.go	ErrorSetDecl	Name/Doc/Members/MemberDocs	string / []string / map[string]string nullable	copy text handles and owned containers	compiler::internal::ast::Text / std::array::Array<compiler::internal::ast::Text> / ?std::map::Map<[]u8, compiler::internal::ast::Text>	compiler::internal::ast::Ast / containing declaration node	arena element cleanup for containers	internal/ast/ast.go:273-298; internal/parser/parser.go:512-555
internal/ast/ast.go	UnionDecl	Name/Doc/TypeParams/Variants	string / []string / []UnionVariant	copy text handles and owned child lists	compiler::internal::ast::Text / std::array::Array<compiler::internal::ast::Text> / std::array::Array<compiler::internal::ast::UnionVariant>	compiler::internal::ast::Ast / containing declaration node	arena element cleanup for list buffers	internal/ast/ast.go:300-328; internal/parser/parser.go:563-624
internal/ast/ast.go	UnionVariant	Name/Doc/Payload	string / typ.Type nullable	copy text and optional type handles	compiler::internal::ast::Text / ?compiler::internal::typ::Type	compiler::internal::ast::Ast / compiler::internal::ast::Ast.types	none	internal/ast/ast.go:330-343; internal/parser/parser.go:588-624
internal/ast/ast.go	ContractDecl	Name/Methods	string / []*FunctionDecl	copy text handle and owned method list	compiler::internal::ast::Text / std::array::Array<compiler::internal::ast::FunctionDecl>	compiler::internal::ast::Ast / containing declaration node	arena element cleanup for method list	internal/ast/ast.go:345-366; internal/parser/parser.go:287-326; internal/project/qualify.go:138-153
internal/ast/ast.go	ImplDecl	ContractName/TypeName	string	copy text handles	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/ast.go:368-382; internal/parser/parser.go:328-357
internal/ast/ast.go	Field	Name/Doc/TypeName	string / typ.Type	copy text and type handles	compiler::internal::ast::Text / compiler::internal::typ::Type	compiler::internal::ast::Ast / compiler::internal::ast::Ast.types	none	internal/ast/ast.go:384-407; internal/parser/parser.go:432-470
internal/ast/ast.go	Param	Name/TypeName	string / typ.Type	copy text and type handles	compiler::internal::ast::Text / compiler::internal::typ::Type	compiler::internal::ast::Ast / compiler::internal::ast::Ast.types	none	internal/ast/ast.go:409-426; internal/parser/parser.go:373-394
internal/ast/variants.go	MetaVariant	Name/HasPayload	string / bool	copy text identity and copy presence flag	compiler::internal::ast::Text / bool	compiler::internal::ast::Ast	none	internal/ast/variants.go:3-10; internal/types/meta.go:255-261; internal/ownership/meta.go:321-325; internal/ir/meta.go:185-189
internal/ast/variants.go	ComptimeMatchExpansion	stmt/variants	*ComptimeMatchStmt / []MetaVariant	borrowed source node and metadata list	&compiler::internal::ast::ComptimeMatchStmt / &std::array::Array<compiler::internal::ast::MetaVariant>	compiler::internal::ast::Ast / caller	none	internal/ast/variants.go:27-46
internal/ast/variants.go	ComptimeMatchExpansion	owner	string	copy identity for phase-retained text	compiler::internal::ast::Text	compiler::internal::ast::Ast	none	internal/ast/variants.go:27-46
internal/ast/variants.go	ComptimeMatchExpansion	return	*MatchStmt	owned temporary arm list with retained handles	compiler::internal::ast::MatchStmt	caller / compiler::internal::ast::Ast	MatchStmt.deinit for arm buffer	internal/ast/variants.go:27-46; internal/types/meta.go:238-239; internal/ownership/meta.go:325; internal/ir/meta.go:189
internal/ast/variants.go	ComptimeMatchExpansion	Arms/metadata	[]MatchArm / string	owned arm buffer and copy text handles	std::array::Array<compiler::internal::ast::MatchArm> / compiler::internal::ast::Text	returned MatchStmt / compiler::internal::ast::Ast	MatchStmt.deinit for arm buffer	internal/ast/variants.go:32-45
internal/ast/variants.go	VariantExpansion	owner/variant/args	string / []Expression	borrowed phase bytes and copy identity for shared arguments	[]u8 / []u8 / compiler::internal::ast::ExpressionList	calling compiler phase / compiler::internal::ast::Ast	none; owner and variant are copied once into Ast text storage	internal/ast/variants.go:51-62
internal/ast/variants.go	VariantExpansion	return	Expression	GC-retained generated nodes	compiler::internal::ast::Expression	compiler::internal::ast::Ast	Ast.deinit	internal/ast/variants.go:51-62; internal/types/meta.go:423; internal/ownership/meta.go:305; internal/ir/meta.go:259
internal/ast/construct.go	ConstructField	Name/Type	string / string	borrowed phase metadata bytes	[]u8 / []u8	calling compiler phase	none; name is copied once when retained in Ast	internal/ast/construct.go:7-12
internal/ast/construct.go	ConstructExpansion	owner/worker/fields/args	string / string / []ConstructField / []Expression	borrowed phase metadata and shared GC argument backing	[]u8 / []u8 / &std::array::Array<compiler::internal::ast::ConstructField> / compiler::internal::ast::ExpressionList	calling compiler phase / compiler::internal::ast::Ast	none	internal/ast/construct.go:32-75
internal/ast/construct.go	ConstructExpansion	return	[]Statement / Expression	owned statement handle list and retained expression graph	compiler::internal::ast::ConstructResult	caller / compiler::internal::ast::Ast	ConstructResult.deinit for statement buffer; Ast.deinit for retained graph	internal/ast/construct.go:32-75
internal/ast/construct.go	ConstructExpansion	generated text/args	binding, worker, cleanup, field strings and repeated args	shared GC string and slice values	compiler::internal::ast::Text / compiler::internal::ast::ExpressionList	compiler::internal::ast::Ast	Ast.deinit; one Text per generated logical spelling and one shared args handle	internal/ast/construct.go:41-72
internal/ast/construct.go	OwnerType	owners/type name	map[string]bool / string	borrowed owner table and type spelling	&std::map::Map<[]u8, bool> / []u8	calling compiler phase	none	internal/ast/construct.go:89-106
